,E_SCALED,E_SCALED_ERR,FE_H,FE_H_ERR,ALPHA_FE,ALPHA_FE_ERR,AL_FE,AL_FE_ERR,CE_FE,CE_FE_ERR,MG_MN,MG_MN_ERR
968,-1.4976782606121735,0.02802253092174971,-1.3641,0.0119080115,-1.115195,0.018867379,-0.21671903,0.027491694,-0.24496007,0.074336015,0.7587911,0.043192945
969,-1.4021977363714768,0.04689723491004028,-0.99581,0.0100695435,-0.795765,0.014133085,-0.13122898,0.022748511,-0.24355,0.053066995,0.38962108,0.030305006
970,-1.5112428689110338,0.03949437921498684,-1.4541,0.010587533,-1.206045,0.018193746,-0.273219,0.024235193,-0.18946004,0.08082578,0.7607709,0.042097382
971,-1.6323941074875907,0.0646094437365471,-1.6268,0.012327236,-1.3890749,0.019813107,-0.3047191,0.026037049,-0.20896006,0.053442962,0.5931709,0.04576654
972,-1.7002458573957506,0.020672613179016624,-0.73965,0.01892036,-0.480075,0.024845926,0.300681,0.05453632,-0.16382998,0.12968852,0.52855104,0.052688923
973,-1.3122206667111405,0.05531711747567431,-1.1673,0.0135529665,-0.93430495,0.021499706,-0.17081904,0.035679534,0.25382,0.12851135,0.367521,0.049656484
974,-1.8327543558048824,0.006704656910775521,-0.66984,0.010079402,-0.39748496,0.014822311,0.30450097,0.027719954,-0.012010038,0.1287728,0.48232102,0.03242345
975,-1.394061820463165,0.057274809119262644,-1.2833,0.011460235,-1.1719791,0.016465798,-0.31651902,0.024519611,0.089540005,0.04543657,0.41485012,0.03617901
976,-1.6450918783438777,0.022240701069772186,-0.72246,0.009744517,-0.556335,0.0138300285,0.079971015,0.024825623,-0.042590022,0.08780065,0.41422105,0.029687757
977,-1.7981436355031328,0.010103126433930156,-1.2443,0.011436597,-0.956315,0.016088475,0.0048810244,0.024386786,0.020640016,0.042918082,0.57830095,0.03494548
978,-1.847794008302464,0.006876167877970001,-0.6806,0.009526336,-0.38313496,0.012198339,0.25869098,0.021605406,-0.07560003,0.043177508,0.52580106,0.024317661
979,-1.8343018123697188,0.0059654061822025685,-0.66913,0.011399531,-0.371575,0.01603207,0.28084102,0.031161455,-0.09305,0.1167005,0.47000098,0.034626957
980,-1.2845768177114556,0.17362200596308627,-1.6204,0.012242281,-1.4321849,0.019394418,0.10368097,0.025875986,-0.20536005,0.05225038,0.51002085,0.044579636
981,-1.455966022151939,0.07514219875479161,-0.74492,0.012293361,-0.600615,0.01555652,-0.11396897,0.029057778,-0.03606999,0.050995946,0.27385104,0.031246185
982,-1.7643108464631074,0.006500268698904256,-1.1668,0.009484709,-0.806415,0.015233668,0.24297106,0.022582838,0.095939994,0.08374744,0.55669105,0.03433978
983,-1.5063951396136812,0.03182815563429176,-0.97154,0.01030695,-0.815685,0.015485551,-0.21297908,0.025409069,-0.32842004,0.08652463,0.46463,0.034325678
984,-1.7141729629525744,0.033452336172647194,-1.2538,0.011736914,-1.053805,0.016260171,-0.24821901,0.024652064,-0.12886,0.03921899,0.4601711,0.035084832
