,scaled_Energy,scaled_e_Energy,fe_h,e_fe_h,alpha_fe,e_alpha_fe,Na_fe,e_Na_fe,Al_fe,e_Al_fe,Mn_fe,e_Mn_fe,Y_fe,e_Y_fe,Ba_fe,e_Ba_fe,Eu_fe,e_Eu_fe,Mg_cu,e_Mg_cu,Mg_mn,e_Mg_mn,Ba_eu,e_Ba_eu
7,-1.6122374454236312,0.0366168907809648,-1.1562977,0.06624838323454951,0.2680616327613457,0.025928213482257153,0.15070384979248086,0.038823904671124496,-0.046215686798095845,0.058855000883340836,-0.4593411254882813,0.05358501106668327,0.6655451766814685,0.09470553263895459,1.0007077026367188,0.06694158957230704,0.6729285049438477,0.08094366776306454,0.790686092376709,0.07371320042198629,0.7604417610168461,0.07419998811039497,0.3277791976928711,0.10503834426248626
8,-1.6262429847027708,0.0237357130702075,-1.0443468,0.06120296927726913,0.24464412440442435,0.022154340335406544,-0.09609848022460898,0.037496896047586104,0.09007247924804673,0.05238490589878714,-0.42590053558349616,0.051450805009138824,0.4681305964155075,0.0911611658600168,0.6040764617919923,0.06469307454778071,0.5127655792236329,0.07882174854533058,0.5779127244301476,0.0653217807601699,0.7164482879638676,0.07133548225752637,0.0913108825683594,0.10197088769932347
9,-1.6573180714331872,0.0133826619497318,-0.97080564,0.04940037278283467,0.1707673840244821,0.014932281747490245,-0.24040800094604453,0.026735477212785748,0.00656827926635728,0.035402031470824526,-0.5455346870422364,0.034826618579156934,0.5284422933916593,0.06062319466337104,0.7460523414611817,0.044691564700676645,0.5739518928527833,0.05226515507777081,0.4378103441170376,0.04597683754481257,0.7423763084411625,0.04980374303923564,0.17210044860839846,0.06876759695305776
10,-1.654146984192434,0.0130445672530706,-1.0494475,0.054796939978575786,0.2140938612994789,0.018676682209925518,0.20502132415771523,0.03055321459130222,0.2761777305603026,0.04240505653170366,-0.4197746086120606,0.04054383927436601,0.5747568558989745,0.07199686698234627,0.6992011833190919,0.05228324752530546,0.534942798614502,0.06469634130575615,0.5573777770996093,0.05712225851286107,0.6969847488403325,0.05700207526111258,0.16425838470458987,0.0831814555663896
11,-1.6422387597989785,0.019595432050935,-1.0522165,0.07762616213602275,0.2397657358778783,0.03325589164066113,0.26768964767456094,0.053096761486648,0.2977684402465819,0.06982529391671835,-0.37102706909179695,0.07719542766643334,0.3107017756459634,0.13133333759889262,0.42467792510986335,0.08966524558622857,0.6382529067993165,0.09840667680330845,0.5824994659423828,0.10235194414928914,0.6550421524047856,0.10671885979944012,-0.2135749816894531,0.13313050103379573
12,-1.6466595767411034,0.015876749951557,-1.0530243,0.07341905985697311,0.2444742537702199,0.03157131980079808,-0.16071754455566367,0.04786137554238352,0.06448635101318345,0.0644471713155426,-0.44521434783935554,0.06841618310548817,0.243369269400139,0.11817475126759941,0.4850512313842774,0.08158421710018807,0.5974394607543946,0.09284818926282462,0.5974387741088867,0.09179876913195723,0.58673999786377,0.09447609297475269,-0.11238822937011717,0.12359923433919776
13,-1.6487837445769995,0.0169853680199813,-0.94710016,0.06934039969290051,0.1109957658265559,0.03111128023446197,-0.2351251220703121,0.049192015483908315,-0.07742277145385756,0.06584971587613087,-0.5107026863098145,0.07063621438005624,0.1523890049911522,0.1721356450513634,0.3163905906677247,0.08366148162560325,0.5365669059753418,0.0943322122870831,0.6308423943496451,0.08754228066174592,0.6434273529052739,0.09755727466458639,-0.22017631530761717,0.12608651705383278
14,-1.4655298159269237,0.1007998625077964,-1.0396056,0.059103397420151374,0.14084510352605298,0.02379032627367982,-0.23568540573120078,0.0339984218723325,-0.23251405715942397,0.0476458254796306,-0.3122897911071778,0.054102011024951935,0.09823178057249249,0.12797953719682004,0.4482904243469239,0.058597857104415695,0.4735290336608887,0.07249283167943273,0.6349348640441894,0.06406117056167002,0.4915313529968266,0.07008306076071023,-0.02523860931396482,0.09321437390302037
15,-1.6170297370080011,0.0522846419008959,-0.9641962,0.04563984886825088,0.0934978218978821,0.014311757841999359,-0.2356267547607418,0.02413064763227237,-0.20040813446044936,0.028765629836968114,-0.39711959838867195,0.03116463711265799,0.047468634548494294,0.05991414198575607,0.5081206130981446,0.0387181179799512,0.5487076568603516,0.03614316972932045,0.5050005643391562,0.040707816912810536,0.49204490661621136,0.04543984202137322,-0.04058704376220701,0.05296622865554887
16,-1.6074998509112757,0.0627429331391355,-0.98825645,0.06515847048752359,0.056328986162676446,0.03064637022723624,-0.22932773590087852,0.044577217901128646,-0.17645278930664077,0.060864674653147724,-0.25553329467773445,0.07441320270299911,0.4044804524165793,0.17535543661489097,0.2902670669555665,0.07637978129938564,0.574404411315918,0.08893463128969734,0.674634895324707,0.08521301424612845,0.30216167449951215,0.09557845309116159,-0.28413734436035154,0.1172315641539274
17,-1.61746452100983,0.0514433610033667,-0.9589696,0.06255442419453801,0.015315370130681606,0.028006241940793073,-0.06369548797607383,0.04062155216602529,-0.056498680114746236,0.05627719258413133,-0.4920259284973145,0.05649616368168335,-0.060983307342740455,0.11872544015569621,0.6320987510681153,0.06994098996045861,0.35469930648803716,0.08363006312777407,0.47613903045654293,0.07730378380673986,0.48285434722900433,0.07813177613187669,0.27739944458007815,0.10902169295789002
